,Sold Day of Week,Monday,Monday,Tuesday,Wednesday,Wednesday,Thursday,Thursday,Friday,Friday,Saturday,Sunday
,Delivery Flag,Delivery,Not Delivery,Not Delivery,Delivery,Not Delivery,Delivery,Not Delivery,Delivery,Not Delivery,Not Delivery,Not Delivery
,Sold Hour of Day,‎,‎,‎,‎,‎,‎,‎,‎,‎,‎,‎
1,8,$137.00,,,,,$126.00,,$212.50,,$331.75,
2,9,$105.00,$260.80,$971.35,$550.23,$215.29,,$799.00,,"$1,337.90",$782.58,$671.15
3,10,,$935.99,$495.20,,$808.80,$88.76,$695.75,,"$1,204.35","$1,091.80",$836.13
4,11,,"$1,273.68","$1,229.58",$335.00,"$1,217.85",,"$2,617.24",,"$1,250.78","$1,935.84",$652.71
5,12,$200.00,"$1,222.83","$1,984.61",$300.12,"$2,187.07",$254.50,"$1,402.29",$429.24,"$2,344.65","$1,515.55",$321.25
6,13,,"$1,330.40","$1,740.08",$413.00,"$1,015.02",,"$1,324.47",$857.38,"$3,365.87","$1,828.90","$1,117.30"
7,14,,"$1,890.20","$1,011.95",$410.00,"$1,739.99",,"$1,624.55",,"$2,642.59","$1,797.95","$1,032.85"
8,15,,"$3,608.50","$2,521.52",,"$1,720.04",,"$2,693.25",,"$3,073.30","$1,926.57","$1,496.80"
9,16,,"$1,969.49","$2,036.58",,"$2,068.24",,"$2,023.97",,"$4,128.42","$1,750.50",$772.40
10,17,,"$1,607.60",$940.90,,"$1,416.80",,"$2,835.57",,"$2,330.14","$1,460.40",$730.60
11,18,,"$1,870.32","$1,286.67",,"$2,048.13",,"$1,565.62",,"$2,485.93","$1,914.95",$54.50
12,19,,$519.10,"$1,272.67",,$591.05,,"$1,120.58",,$745.57,"$1,900.85",
